site_id,longitude,latitude,year,country,class_id,class_name,role,split,block_id,fold_id,qc_keep,qc_flag,w_rel
P_200,66.8809,44.2413,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_51,4.0,True,,1.0
P_201,66.8856,44.2405,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_51,4.0,True,,1.0
P_202,66.8842,44.2348,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_51,4.0,True,,1.0
P_203,66.8828,44.23,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_51,4.0,True,,1.0
P_204,66.8868,44.2294,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_51,4.0,True,,1.0
P_205,66.8882,44.2336,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_51,4.0,True,,1.0
P_206,66.8776,44.2307,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_51,4.0,True,,1.0
P_207,66.8791,44.2363,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_51,4.0,True,,1.0
P_208,66.8897,44.2398,2017.0,KAZ,1.0,Cropland,exact_year,traindev,64_51,4.0,True,,1.0
P_209,65.3775,44.8405,2017.0,KAZ,1.0,Cropland,exact_year,traindev,63_51,2.0,True,,1.0
P_210,65.3779,44.8338,2017.0,KAZ,3.0,Grassland,exact_year,traindev,63_51,2.0,True,,1.0
P_211,65.3726,44.8387,2017.0,KAZ,3.0,Grassland,exact_year,traindev,63_51,2.0,True,,1.0
P_212,65.3698,44.8403,2017.0,KAZ,3.0,Grassland,exact_year,traindev,63_51,2.0,True,,1.0
P_213,65.3737,44.8439,2017.0,KAZ,1.0,Cropland,exact_year,traindev,63_51,2.0,True,,1.0
P_214,65.3778,44.846,2017.0,KAZ,3.0,Grassland,exact_year,traindev,63_51,2.0,True,,1.0
P_215,65.3818,44.843,2017.0,KAZ,3.0,Grassland,exact_year,traindev,63_51,2.0,True,,1.0
P_216,65.3808,44.8371,2017.0,KAZ,3.0,Grassland,exact_year,traindev,63_51,2.0,True,,1.0
P_217,65.3859,44.8403,2017.0,KAZ,3.0,Grassland,exact_year,traindev,63_51,2.0,True,,1.0
P_218,65.5129,44.9072,2017.0,KAZ,1.0,Cropland,exact_year,traindev,63_51,2.0,True,,1.0
P_219,65.5133,44.9112,2017.0,KAZ,1.0,Cropland,exact_year,traindev,63_51,2.0,True,,1.0
P_220,65.5134,44.9162,2017.0,KAZ,1.0,Cropland,exact_year,traindev,63_51,2.0,True,,1.0
P_221,65.5073,44.9163,2017.0,KAZ,1.0,Cropland,exact_year,traindev,63_51,2.0,True,,1.0
P_222,65.5072,44.9112,2017.0,KAZ,1.0,Cropland,exact_year,traindev,63_51,2.0,True,,1.0
P_223,65.5068,44.9072,2017.0,KAZ,1.0,Cropland,exact_year,traindev,63_51,2.0,True,,1.0
P_224,65.5018,44.9072,2017.0,KAZ,1.0,Cropland,exact_year,traindev,63_51,2.0,True,,1.0
P_225,65.502,44.9163,2017.0,KAZ,1.0,Cropland,exact_year,traindev,63_51,2.0,True,,1.0
P_226,65.5017,44.9113,2017.0,KAZ,1.0,Cropland,exact_year,traindev,63_51,2.0,True,,1.0
P_227,63.8806,45.6661,2017.0,KAZ,5.0,Bare,exact_year,traindev,61_52,4.0,True,,1.0
P_228,63.886,45.6679,2017.0,KAZ,5.0,Bare,exact_year,traindev,61_52,4.0,True,,1.0
P_229,63.8908,45.6698,2017.0,KAZ,5.0,Bare,exact_year,traindev,61_52,4.0,True,,1.0
P_230,63.8933,45.6661,2017.0,KAZ,5.0,Bare,exact_year,traindev,61_52,4.0,True,,1.0
P_231,63.8881,45.6636,2017.0,KAZ,5.0,Bare,exact_year,traindev,61_52,4.0,True,,1.0
P_232,63.8823,45.6599,2017.0,KAZ,5.0,Bare,exact_year,traindev,61_52,4.0,True,,1.0
P_233,63.886,45.6583,2017.0,KAZ,5.0,Bare,exact_year,traindev,61_52,4.0,True,,1.0
P_234,63.8901,45.6594,2017.0,KAZ,5.0,Bare,exact_year,traindev,61_52,4.0,True,,1.0
P_235,63.8971,45.6618,2017.0,KAZ,4.0,Shrubland,exact_year,traindev,61_52,4.0,True,,1.0
P_236,61.4623,45.7918,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_237,61.4607,45.7956,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_238,61.4584,45.7994,2017.0,KAZ,5.0,Bare,exact_year,test,59_52,-1.0,True,,1.0
P_239,61.4559,45.79,2017.0,KAZ,5.0,Bare,exact_year,test,59_52,-1.0,True,,1.0
P_240,61.4541,45.7935,2017.0,KAZ,5.0,Bare,exact_year,test,59_52,-1.0,True,,1.0
P_241,61.4518,45.798,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_242,61.4473,45.7967,2017.0,KAZ,3.0,Grassland,exact_year,test,59_52,-1.0,True,,1.0
P_243,61.4487,45.7924,2017.0,KAZ,5.0,Bare,exact_year,test,59_52,-1.0,True,,1.0
P_244,61.4516,45.7888,2017.0,KAZ,5.0,Bare,exact_year,test,59_52,-1.0,True,,1.0
